,"The date range of the seasonal run. Winter and Late-fall will have a range by month and year. Spring and Fall will be a full, singular year.",The simplified year of the seasonal run. The ending year of the Winter and Late-fall runs is the simplified year.,"Fall, Winter, Spring and Late-Fall runs.
The Feather River Survey does not provide separate estimates for fall and spring escapement.  Spring-run estimates are included with fall-run estimates.
","The river system can either be 1) Sacramento River, 2) San Joaquin River, or 3) Central Valley. The Central Valley River System is a combination of both the Sacramento and San Joaquin River Systems.","This field only applies to Fall-run counts in the Sacramento River System. There are three reaches: 1) Keswick Dam to Red Bluff Diversion Dam (RBDD), 2) RBDD to Princeton Ferry, and 3) Princeton Ferry to Sacramento. ","Angler Harvest, Carcass, Hatchery, In-River Count, Snorkel, or Transfer.  When available, the carcass survey estimate is used instead of the snorkel survey estimate.  Hatchery estimates account for fish returning to a hatchery. Transfer estimates account for fish that are captured and transferred to a specified hatchery. In-River Count estimates fish escapements within the specified river, although the data collection type is not provided. ","The location of where the estimate or count was taken. In the Sacramento River Main Stem, the escapement estimate may include numbers of fish for tributaries where estimates were not made.",The location of the associated hatchery where either the estimate was taken or fish were transferred. ,The origin of fish that were transferred to a hatchery.,"When available, the specific location along the river is provided. ",The estimated quantity of Chinook escapement. 
Chinook,1963,1963,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1964,1964,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1965,1965,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1966,1966,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1968,1968,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1969,1969,Spring,Central Valley,,In-River Count,Clear Creek,,,,0
Chinook,1973,1973,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,0
Chinook,1974,1974,Spring,Central Valley,,In-River Count,Cottonwood Creek,,,,3
Chinook,1960,1960,Spring,Central Valley,,In-River Count,Mill Creek,,,,"2,368"
Chinook,1961,1961,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,245"
Chinook,1962,1962,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,692"
Chinook,1963,1963,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,315"
Chinook,1964,1964,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,539"
Chinook,1970,1970,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,500"
Chinook,1971,1971,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,000"
Chinook,1972,1972,Spring,Central Valley,,In-River Count,Mill Creek,,,,500
Chinook,1973,1973,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,700"
Chinook,1974,1974,Spring,Central Valley,,In-River Count,Mill Creek,,,,"1,500"
Chinook,1963,1963,Spring,Central Valley,,In-River Count,Deer Creek,,,,"2,302"
Chinook,1964,1964,Spring,Central Valley,,In-River Count,Deer Creek,,,,"2,874"
Chinook,1970,1970,Spring,Central Valley,,In-River Count,Deer Creek,,,,"2,000"
Chinook,1971,1971,Spring,Central Valley,,In-River Count,Deer Creek,,,,"1,500"
Chinook,1972,1972,Spring,Central Valley,,In-River Count,Deer Creek,,,,400
Chinook,1973,1973,Spring,Central Valley,,In-River Count,Deer Creek,,,,"2,000"
Chinook,1974,1974,Spring,Central Valley,,In-River Count,Deer Creek,,,,"3,500"
Chinook,1962,1962,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,200
Chinook,1963,1963,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,500
Chinook,1964,1964,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,100
Chinook,1965,1965,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,50
Chinook,1966,1966,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,50
Chinook,1967,1967,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,150
Chinook,1968,1968,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,175
Chinook,1969,1969,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,200
Chinook,1971,1971,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,0
Chinook,1973,1973,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,50
Chinook,1974,1974,Spring,Central Valley,,In-River Count,Big Chico Creek,,,,100
Chinook,1960,1960,Spring,Central Valley,,Snorkel,Butte Creek,,,,"8,700"
Chinook,1961,1961,Spring,Central Valley,,Snorkel,Butte Creek,,,,"3,082"
Chinook,1962,1962,Spring,Central Valley,,Snorkel,Butte Creek,,,,"1,750"
Chinook,1963,1963,Spring,Central Valley,,Snorkel,Butte Creek,,,,"6,100"
Chinook,1964,1964,Spring,Central Valley,,Snorkel,Butte Creek,,,,600
Chinook,1965,1965,Spring,Central Valley,,Snorkel,Butte Creek,,,,"1,000"
Chinook,1966,1966,Spring,Central Valley,,Snorkel,Butte Creek,,,,80
Chinook,1967,1967,Spring,Central Valley,,Snorkel,Butte Creek,,,,180
Chinook,1968,1968,Spring,Central Valley,,Snorkel,Butte Creek,,,,280
Chinook,1969,1969,Spring,Central Valley,,Snorkel,Butte Creek,,,,830
Chinook,1970,1970,Spring,Central Valley,,Snorkel,Butte Creek,,,,285
Chinook,1971,1971,Spring,Central Valley,,Snorkel,Butte Creek,,,,470
Chinook,1972,1972,Spring,Central Valley,,Snorkel,Butte Creek,,,,150
Chinook,1973,1973,Spring,Central Valley,,Snorkel,Butte Creek,,,,300
Chinook,1974,1974,Spring,Central Valley,,Snorkel,Butte Creek,,,,150
Chinook,1963,1963,Spring,Central Valley,,In-River Count,Feather River,,,,600
Chinook,1964,1964,Spring,Central Valley,,In-River Count,Feather River,,,,"2,908"
Chinook,1965,1965,Spring,Central Valley,,In-River Count,Feather River,,,,738
Chinook,1966,1966,Spring,Central Valley,,In-River Count,Feather River,,,,297
Chinook,1967,1967,Spring,Central Valley,,In-River Count,Feather River,,,,146
Chinook,1968,1968,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,208
Chinook,1969,1969,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,348
Chinook,1970,1970,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,235
Chinook,1971,1971,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,481
Chinook,1972,1972,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,256
Chinook,1973,1973,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,205
Chinook,1974,1974,Spring,Central Valley,,Hatchery,Feather River,Feather River Hatchery,,,198
Chinook,1972,1972,Spring,Central Valley,,In-River Count,Calaveras River,,,,500
Chinook,1952,1952,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"203,716"
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"313,409"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"211,551"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"176,293"
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"84,716"
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"47,300"
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"99,300"
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"249,600"
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"210,000"
Chinook,1961,1961,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"134,700"
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"115,500"
Chinook,1963,1963,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"135,200"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"140,500"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"98,900"
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"107,900"
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"78,100"
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"95,600"
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"114,600"
Chinook,1970,1970,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"62,298"
Chinook,1971,1971,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"52,247"
Chinook,1972,1972,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"33,559"
Chinook,1973,1973,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"40,424"
Chinook,1974,1974,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Sacramento River Main Stem,,,,"45,590"
Chinook,1952,1952,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"7,000"
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"8,000"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"6,000"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"6,000"
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,641"
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"7,689"
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"7,853"
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"7,100"
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"8,940"
Chinook,1961,1961,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"5,481"
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"12,337"
Chinook,1963,1963,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"3,681"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,084"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,976"
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"3,981"
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"4,390"
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,829"
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"1,052"
Chinook,1970,1970,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"2,844"
Chinook,1971,1971,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"1,641"
Chinook,1972,1972,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,399
Chinook,1973,1973,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,705
Chinook,1974,1974,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,"1,429"
Chinook,1952,1952,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"11,000"
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"12,000"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"8,000"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"10,000"
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"7,458"
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,045"
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"14,643"
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"10,833"
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"9,605"
Chinook,1961,1961,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"8,156"
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"4,857"
Chinook,1963,1963,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"5,114"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,875"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,194"
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,900
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,050"
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,526"
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"2,626"
Chinook,1970,1970,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,512"
Chinook,1971,1971,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"2,004"
Chinook,1972,1972,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"2,822"
Chinook,1973,1973,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"3,835"
Chinook,1974,1974,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"1,607"
Chinook,1952,1952,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,000"
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,000"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,000"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"16,000"
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"13,650"
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,285"
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"14,500"
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"19,300"
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"14,200"
Chinook,1961,1961,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"11,700"
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"8,200"
Chinook,1963,1963,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"12,400"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"12,000"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"6,000"
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,400"
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,160"
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,950"
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"3,200"
Chinook,1970,1970,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"3,320"
Chinook,1971,1971,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"3,285"
Chinook,1972,1972,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,030"
Chinook,1973,1973,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"4,300"
Chinook,1974,1974,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,294"
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,100
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Upstream of CNFH,100
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"1,500"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"3,000"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,500
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"2,650"
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,330
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"1,600"
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,775
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,900
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"5,400"
Chinook,1963,1963,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"10,000"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"2,500"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"2,500"
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,900
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,370
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,800
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Clear Creek,,,,"1,240"
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Spring Gulch,,,,950
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Spring Gulch,,,,955
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,China Gulch,,,,385
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,China Gulch,,,,200
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Olney Creek,,,,30
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"3,000"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,000"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,800
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,660
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,358
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,600
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"3,300"
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,350
Chinook,1961,1961,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"1,500"
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"6,000"
Chinook,1963,1963,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"3,500"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"3,450"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,900
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"2,900"
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,600
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"8,540"
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cottonwood Creek,,,,"4,967"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Paynes Creek,,,,35
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Paynes Creek,,,,300
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Paynes Creek,,,,300
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"3,000"
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"4,500"
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"1,300"
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"3,200"
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,700
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"3,300"
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,680
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,650
Chinook,1962,1962,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"1,500"
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"1,000"
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"1,000"
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"7,600"
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,520
Chinook,1968,1968,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"7,540"
Chinook,1969,1969,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Cow Creek,,,,"5,570"
Chinook,1953,1953,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,800
Chinook,1954,1954,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,500
Chinook,1955,1955,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,200
Chinook,1956,1956,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,5
Chinook,1957,1957,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,30
Chinook,1958,1958,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,200
Chinook,1959,1959,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,10
Chinook,1960,1960,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,50
Chinook,1964,1964,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,50
Chinook,1965,1965,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,350
Chinook,1966,1966,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,400
Chinook,1967,1967,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Bear Creek,,,,30
